Name,Artist,Album,Release Date,Popularity,Explicit,Duration (ms),Track ID,Spotify URL
Girl's Around The World - Radio Version,Lloyd,Lessons In Love,2008-01-01,52,False,229800,6fju5NbZznZRZDfP7mpZ56,https://open.spotify.com/track/6fju5NbZznZRZDfP7mpZ56
It Wasn't Me,Shaggy,The Boombastic Collection - Best of Shaggy,2008-01-01,58,False,227546,0OaunKfsxkgBvPv68jBbmm,https://open.spotify.com/track/0OaunKfsxkgBvPv68jBbmm
"Fiesta (feat. JAY-Z, Boo & Gotti) - Remix",R. Kelly,The R. In R&B Collection: Volume 1,2003-09-23,51,False,241400,77S8pBH3ilaDIPmTJkRNQn,https://open.spotify.com/track/77S8pBH3ilaDIPmTJkRNQn
Shake Ya Ass (feat. Pharrell Williams),Mystikal,Let's Get Ready,2000-09-26,62,True,256972,1jRzdY7oUBOhrylNtiMtBD,https://open.spotify.com/track/1jRzdY7oUBOhrylNtiMtBD
I Wish,Carl Thomas,Emotional,2000-04-18,58,False,228506,3lqT89gv8p3PYwXtr3ODjv,https://open.spotify.com/track/3lqT89gv8p3PYwXtr3ODjv
Ms. Jackson,Outkast,Stankonia,2000-10-31,82,True,270506,0I3q5fE6wg7LIfHGngUTnV,https://open.spotify.com/track/0I3q5fE6wg7LIfHGngUTnV
Just Be A Man About It,Toni Braxton,The Heat,2000,53,False,288933,6kD36kVRn5leDDbjXpHQY0,https://open.spotify.com/track/6kD36kVRn5leDDbjXpHQY0
Doesn't Really Matter,Janet Jackson,Number Ones,2009-01-01,0,False,296333,0NwoZGQ13M8E6bvDT0f5vv,https://open.spotify.com/track/0NwoZGQ13M8E6bvDT0f5vv
Ride Wit Me,Nelly,Country Grammar,2000-06-27,2,True,291781,06iMqWThw4w8fTFyccvOwr,https://open.spotify.com/track/06iMqWThw4w8fTFyccvOwr
Between Me & You,Ja Rule,Rule 3:36,2000-01-01,57,False,250173,4xwRtK6tfMp4yZwcDvY0gT,https://open.spotify.com/track/4xwRtK6tfMp4yZwcDvY0gT
It Doesn't Matter (feat. Dwayne Johnson & Melky Sedeck),Wyclef Jean,The Ecleftic -2 Sides II A Book,2000-08-14,27,False,237773,6ddqGDLc1OI1w6ZRkDPHdt,https://open.spotify.com/track/6ddqGDLc1OI1w6ZRkDPHdt
"So Fresh, So Clean",Outkast,Stankonia,2000-10-31,74,True,240026,6glsMWIMIxQ4BedzLqGVi4,https://open.spotify.com/track/6glsMWIMIxQ4BedzLqGVi4
Gotta Tell You,Samantha Mumba,Gotta Tell You,2000,36,False,201066,7ccz9p1ErD6Kq5ZSQmyvLm,https://open.spotify.com/track/7ccz9p1ErD6Kq5ZSQmyvLm
The 6th Sense,Common,Like Water For Chocolate,2000-01-01,41,True,318800,6OE9S6XF0U1lNfeaUNSjYl,https://open.spotify.com/track/6OE9S6XF0U1lNfeaUNSjYl
Didn't Cha Know,Erykah Badu,Mama's Gun,2000-10-31,71,False,238733,7pv80uUHfocFqfTytu1MVi,https://open.spotify.com/track/7pv80uUHfocFqfTytu1MVi
Family Affair,Mary J. Blige,No More Drama,2001-08-28,79,False,265866,3aw9iWUQ3VrPQltgwvN9Xu,https://open.spotify.com/track/3aw9iWUQ3VrPQltgwvN9Xu
